"x","y","endX","endY","countP"
69.7368421052632,61,70.0526315789474,50.2631578947368,19
70,65.0769230769231,73,65,13
69.8571428571429,69,79.4285714285714,69.4285714285714,7
69.1111111111111,73.4444444444444,73.2222222222222,62.2222222222222,9
70,76.6666666666667,69.1666666666667,68.6666666666667,6
74,6.5,79.5,9.75,4
73.3333333333333,9.33333333333333,74,23,3
72.6666666666667,13,82.6666666666667,16.3333333333333,3
73,18.5,76.25,16.75,4
74.5,21.1666666666667,89,32.1666666666667,6
74.3333333333333,24,82,29,3
74,28.6666666666667,81.3333333333333,20.6666666666667,3
74,33.5,78.8333333333333,29.8333333333333,12
73.5,37.75,70.75,46.5,4
73.4,42.2,72.8,49,5
74,45.5555555555556,78.8888888888889,53.1111111111111,9
72.7777777777778,49.8888888888889,80.5555555555556,47.4444444444444,9
73.4444444444444,53.2222222222222,79.2222222222222,53.1111111111111,9
73.4444444444444,57.1111111111111,78,48.2222222222222,9
73.1052631578947,61.1052631578947,78.0526315789474,48.4210526315789,19
73.4545454545455,64.9090909090909,83.8181818181818,53.9090909090909,11
72.6,68.6,69.6,59,5
73.6666666666667,73.3333333333333,70.3333333333333,65.1111111111111,9
73.375,77.625,82,70.375,8
76,7,56,10,1
77,9,72,36,1
77.6666666666667,12.6666666666667,77,26.3333333333333,3
77.5,17.25,77.5,13,4
78,20.5,70.5,9,2
78.5,25.25,86.25,50.5,4
77.625,29.625,85.625,33.25,8
77.875,33.875,82.875,31.625,8
77.3333333333333,37,89.1666666666667,22.8333333333333,6
77.6,42,91,41.2,5
77.8333333333333,46.1666666666667,80.5,39.3333333333333,6
78,49.1428571428571,78.4285714285714,53.8571428571429,7
77.2727272727273,53.8181818181818,84.4545454545455,55.6363636363636,11
77.75,57.75,78.75,53.5833333333333,12
77.5333333333333,62,81.0666666666667,63.8,15
77.7333333333333,65.4,82.3333333333333,64.4666666666667,15
77.125,69,69.375,57.75,8
78.4545454545455,73.2727272727273,75.9090909090909,69.0909090909091,11
77,79,85.5,71,2
81.75,13.5,82.75,15.5,4
81.1428571428571,18.1428571428571,83.7142857142857,21,7
80.25,21.75,81.5,25.25,4
80.5,26,91,27,2
81.75,29.5,86.5,32.25,4
81.3333333333333,33,86.3333333333333,28.3333333333333,3
81.5714285714286,38.1428571428571,87.8571428571429,35.8571428571429,7
81.3333333333333,41.3333333333333,85.2222222222222,40.1111111111111,9
81.7,45.4,92.5,48.7,10
82,48.25,81.75,54.25,4
81.5454545454545,53.4545454545455,84.8181818181818,59.6363636363636,11
81.3333333333333,57.6666666666667,81.8888888888889,56.7777777777778,9
80.6,61.5,78.6,40.7,10
81.6666666666667,66.1666666666667,83.1666666666667,56.5,12
81.3333333333333,69.6666666666667,86.4444444444444,59.7777777777778,9
81.5714285714286,73.4285714285714,77.5714285714286,55.5714285714286,7
81.6666666666667,76.6666666666667,73.8333333333333,59.3333333333333,6
84,3,86,13,1
87,7,93,19,1
84,8,89,2,1
86,13,85.5,17.5,2
85.8333333333333,17.8333333333333,92.5,24,6
85.4,20.8,103,32,5
85,25.3333333333333,89.1666666666667,28.3333333333333,6
84.6,29.4,97.2,38,5
85.75,33.25,84.5,29.25,4
86.4,37,94.4,33.2,5
85.75,41.75,96,33.625,8
85.25,45.25,92.25,47.375,8
85.75,50.25,93.5,48.5,8
85.5,53.5833333333333,83.3333333333333,46.6666666666667,12
85.8235294117647,57.4117647058824,89.2352941176471,51.3529411764706,17
85.3076923076923,61.1538461538462,89.3076923076923,56.3846153846154,13
85.8571428571429,65.8571428571429,82.7142857142857,50.1428571428571,7
85.875,70,90.25,66.5,8
86,73,83,57,2
85.2,77.4,72.6,58.2,5
90,10.5,99,5,2
88,12,81,14,1
89.6666666666667,17,94,25.6666666666667,3
90,20.4285714285714,99.4285714285714,34.1428571428571,7
90.6666666666667,25.3333333333333,104,25.6666666666667,3
90,30.3333333333333,102.666666666667,19,3
89,37,92,25,1
90,42,95,32,2
89,47,104,50.3333333333333,3
89.1111111111111,49.8888888888889,97.7777777777778,58.4444444444444,9
89.6153846153846,53.5384615384615,98.0769230769231,41.6153846153846,13
89.5,57.5,98.5,58.4,10
89.5555555555556,61.4444444444444,95.1111111111111,57.4444444444444,9
89.1,65.3,91,62.9,10
90.75,69.25,93,60,4
89.2857142857143,72.5714285714286,88.7142857142857,66.8571428571429,7
89.5,76.5,94,72.5,2
94,5,81,10,2
94,27,113,14,1
93,34,101,34,3
92.75,41.25,104.25,45,4
94,47,94,41,1
93.25,50,99.25,52.25,4
92.5,54,95,35.5,2
93.3333333333333,57.3333333333333,101.166666666667,54.1666666666667,6
93.1428571428571,61.7142857142857,98.5714285714286,59.7142857142857,7
94.25,65,88,58.5,4
93,69.6,94,73.6,5
92.3333333333333,73.1666666666667,87,64.8333333333333,6
93,77.6666666666667,90.6666666666667,71,3
97.5,13,90,16.5,2
97,16,82,12,1
98.5,24,96,42.5,2
98.5,38,104.5,45,2
97,49.4,101.4,48.2,5
98,52,106.333333333333,49.6666666666667,3
97,56,102,52,1
97.4,61.6,98.6,61,5
98,64.6666666666667,99.6666666666667,53.6666666666667,3
99,70,96,54.5,2
96.6666666666667,72.6666666666667,99.3333333333333,67,3
98,76.25,92,67,4
101,3,87,6,1
103,23,112,29,1
101,34,112,29,1
102,36,100,41,1
100,47,109,50,1
100.5,49,101.5,51.5,2
102,54.5,109,36,2
103,61,101,53,1
103,67,99,33,1
100,69,93,65,1
101.6,73.2,106.2,54.2,5
100.666666666667,76.3333333333333,105,65.6666666666667,3
107,36,104,43,1
107,53,118,59,1
107,57,102,49,1
106,61,102,60.5,2
105,65.5,108,45.5,2
106,69,109.5,40.5,2
107,73,103,79,1
105.75,78,104,72.75,4
110,15,107,46,1
111,33,119,64,1
110,52,109,45,1
110,58,109.25,35,4
109,61,104.5,54,2
108,67,117,41,1
111,68,98,64,1
110,75,100.5,66,2
111,77,99,75,1
115,20,104,43,1
112,33,107,34,1
113,53,110,60,1
113,58,116,39.5,2
114,61,114,53,1
112.5,70,110,39.5,2
112,79,115,43,1
119,1,111.666666666667,23.3333333333333,3
119,10,115,33,1
117.5,54,112.5,41.5,2
118,61,118,58,1
118,65,119,61,1
117,73,118,69,1
119,79,116,78,1
