"x","y","endX","endY","countP"
25,25,39.5,28.5,2
21,42,74,49,1
28,57,55,78,1
27.5,74,19,55.5,2
37,9,38,2,1
34,17,57,21,2
36.5,24,53,18.5,4
37.5,34.1666666666667,32.1666666666667,33,6
35.6,43.8,43.8,40.6,5
36.2,53.6,41.6,65,5
31,65,22,75,1
34.8888888888889,74.5555555555556,33.1111111111111,60.7777777777778,9
47,4,62.5,15.5,2
44.3333333333333,14.3333333333333,46.6666666666667,17.3333333333333,3
47,23,54.3333333333333,24.3333333333333,3
46.1,34.4,43.4,37.8,10
45.4,44.8,47.25,40.3,20
44.6666666666667,54.2083333333333,53.2916666666667,48.6666666666667,24
45.4444444444444,64.1111111111111,56.3333333333333,56.5555555555556,9
46.0909090909091,73.2727272727273,46,72.8181818181818,11
55,8,43,6,1
53.8,13.6,50,28.8,5
52.8461538461538,26.5384615384615,68.3846153846154,23.3846153846154,13
55.3076923076923,35.9230769230769,60.2820512820513,29.9230769230769,39
55.6136363636364,44.9318181818182,63.9545454545455,39.8409090909091,44
54.3714285714286,53.8857142857143,62.5142857142857,53.9714285714286,35
54.1304347826087,64.8260869565217,62.0434782608696,60.2173913043478,23
54.7272727272727,75.3181818181818,54.9545454545455,67.2727272727273,22
65.5,8,74,3,2
66,15.3333333333333,67.1666666666667,17.3333333333333,6
64.7,25.25,77,19.4,20
64.5531914893617,35.8510638297872,73.7659574468085,29.5744680851064,47
64.3134328358209,43.865671641791,70.8955223880597,40.6716417910448,67
64.6458333333333,54.5833333333333,71.4166666666667,48.125,48
64.3142857142857,64.4,69.1142857142857,62.2571428571429,35
63.8275862068966,73.4137931034483,69.448275862069,69.4827586206897,29
73.1428571428571,5.42857142857143,77.2857142857143,7.71428571428571,7
75.6,14.8666666666667,85.8666666666667,17.1333333333333,15
74.36,25.16,78.04,24.16,25
73.8157894736842,34.9736842105263,79.9210526315789,34.0526315789474,38
74.3142857142857,45.2285714285714,85.3571428571429,40.3142857142857,70
73.9090909090909,54.1168831168831,78.1688311688312,47.5194805194805,77
74.8222222222222,64.1777777777778,81.1333333333333,57.9555555555556,45
74.4509803921569,74.4117647058823,78.7058823529412,66.4509803921569,51
83.4285714285714,6.85714285714286,83.4285714285714,8.28571428571429,7
85.1428571428571,15.7142857142857,92.0952380952381,22.952380952381,21
85.1034482758621,25.2586206896552,95.1724137931034,28.0689655172414,58
84.6712328767123,34.7945205479452,92.7123287671233,30.7397260273973,73
85.1111111111111,44.4814814814815,93.8981481481482,39.7314814814815,108
84.8,54.5157894736842,94.1684210526316,46.1578947368421,95
83.7272727272727,63.4727272727273,90.2727272727273,54,55
84.6521739130435,74.2826086956522,87.9782608695652,63.695652173913,46
96.1111111111111,6,93.4444444444444,12.3333333333333,9
95.0769230769231,17,100.769230769231,23.6153846153846,13
94.3414634146341,25.1219512195122,101.365853658537,27.4146341463415,41
93.9365079365079,34.4603174603175,101.269841269841,32.0793650793651,63
93.9861111111111,45.4722222222222,99.5416666666667,39.7083333333333,72
93.3132530120482,54.8795180722892,101.10843373494,48.3493975903614,83
94.2,64.46,100.94,55.64,50
93.59375,74.8125,92.875,63.6875,32
104.5,6.3,99.3,19.5,10
103.25,15.625,97.625,26,8
103.206896551724,24.2758620689655,105.862068965517,27.2413793103448,29
104.5,34.75,109.875,36.3125,16
103,44.4666666666667,109.533333333333,47.3333333333333,15
102.904761904762,55.2380952380952,108.904761904762,55.6666666666667,21
104.625,64.6875,106.3125,55.875,16
104.190476190476,73.3809523809524,97.2380952380952,57.1904761904762,21
112.6,5.8,107.2,19.2,5
113.3,15.4,107,24.4,10
114.416666666667,25.4166666666667,113.5,36.4166666666667,12
114.5,32.5,113.5,39,2
110,45,105,35,1
114.916666666667,55,111.75,45.25,12
111.5,60,114,45,2
112.333333333333,75.3333333333333,98.2222222222222,66.6666666666667,9
