LHS,RHS,support,confidence,coverage,lift,count
"{player=Marc Gasol,period=1,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.4816774705648896e-4,0.717948717948718,2.0637650482868103e-4,1.3461360377659937,28
"{player=Goga Bitadze,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1112581029236671e-4,0.7241379310344828,1.534594523085064e-4,1.5517475990479481,21
"{player=Armoni Brooks,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.7462627331657626e-4,0.6,2.9104378886096044e-4,1.1249851172758663,33
"{player=Armoni Brooks,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.2170922079640164e-4,0.6388888888888888,1.9050138907262867e-4,1.1979008193215241,23
"{player=Dwight Powell,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.4287604180447148e-4,0.6428571428571429,2.222516205847334e-4,1.3775718481344028,27
"{player=Dwight Powell,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1112581029236671e-4,0.6774193548387096,1.6404286281254134e-4,1.4516348507222736,21
"{player=Dwight Powell,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.4287604180447148e-4,0.6923076923076923,2.0637650482868103e-4,1.4835389133755106,27
"{player=Dwight Powell,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.4816774705648896e-4,0.7777777777777778,1.9050138907262865e-4,1.6666918656440923,28
"{player=Kevon Looney,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.5345945230850643e-4,0.6904761904761905,2.2225162058473345e-4,1.4796142072554694,29
"{player=Kevon Looney,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.270009260484191e-4,0.6153846153846154,2.0637650482868103e-4,1.3187012563337874,24
"{player=Obi Toppin,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.9050138907262865e-4,0.7346938775510204,2.5929355734885567e-4,1.5743678264393175,36
"{player=Obi Toppin,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.8695652173913043,1.2170922079640164e-4,1.6304132134432843,20
"{player=Drew Eubanks,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1641751554438418e-4,0.6111111111111112,1.9050138907262865e-4,1.3095436087203582,22
"{player=Drew Eubanks,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1112581029236671e-4,0.75,1.4816774705648896e-4,1.607167156156803,21
"{player=David Nwaba,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.5555555555555556,1.9050138907262865e-4,1.0416528863665426,20
"{player=David Nwaba,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1112581029236671e-4,0.75,1.4816774705648896e-4,1.607167156156803,21
"{player=Juan Toscano-Anderson,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.270009260484191e-4,0.8275862068965517,1.534594523085064e-4,1.773425827483369,24
"{player=Juan Toscano-Anderson,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.005423997883318e-4,0.7307692307692307,1.3758433655245404e-4,1.5659577418963722,19
"{player=Mike Scott,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.7692307692307693,1.37584336552454e-4,1.4422886118921363,20
"{player=Mike Scott,period=3,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.6333333333333333,1.587511575605239e-4,1.1874842904578586,19
"{player=Mike Scott,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.3758433655245404e-4,0.7027027027027027,1.9579309432464612e-4,1.3175501373501137,26
"{player=Patrick Beverley,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1112581029236671e-4,0.75,1.4816774705648896e-4,1.4062313965948328,21
"{player=Patrick Beverley,period=1,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1641751554438418e-4,0.7096774193548387,1.6404286281254134e-4,1.330627558068229,22
"{player=Rajon Rondo,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.005423997883318e-4,0.6129032258064516,1.6404286281254134e-4,1.3133839125582478,19
"{player=Nerlens Noel,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.6933456806455881e-4,0.7441860465116279,2.2754332583675092e-4,1.5947084960315565,32
"{player=Nerlens Noel,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.5345945230850643e-4,0.6590909090909091,2.328350310887684e-4,1.4123590160165846,29
"{player=Nerlens Noel,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.5345945230850643e-4,0.7837837837837838,1.9579309432464614e-4,1.6795620731008032,29
"{player=Justin Jackson,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.2170922079640164e-4,0.6388888888888888,1.9050138907262867e-4,1.1979008193215241,23
"{player=Justin Jackson,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1641751554438418e-4,0.7333333333333333,1.587511575605239e-4,1.3749818100038362,22
"{player=Jevon Carter,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.9579309432464612e-4,0.74,2.6458526260087314e-4,1.387481644640235,37
"{player=Brandon Goodwin,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.625,1.6933456806455881e-4,1.1718594971623606,20
"{player=Brandon Goodwin,period=3,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.6896551724137931,1.534594523085064e-4,1.293086341696398,20
"{player=Daniel Gafford,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.3229263130043657e-4,0.7575757575757576,1.7462627331657626e-4,1.6234011678351548,25
"{player=Daniel Gafford,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.3758433655245404e-4,0.7027027027027027,1.9579309432464612e-4,1.505814272435203,26
"{player=Daniel Gafford,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.4816774705648896e-4,0.7368421052631579,2.010847995766636e-4,1.5789712411365082,28
"{player=Daniel Gafford,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.5875115756052387e-4,0.8333333333333334,1.9050138907262865e-4,1.7857412846186704,30
"{player=Hassan Whiteside,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.2170922079640164e-4,0.7931034482758621,1.534594523085064e-4,1.6995330846715622,23
"{player=Torrey Craig,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.005423997883318e-4,0.76,1.3229263130043657e-4,1.628596051572227,19
"{player=Precious Achiuwa,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.4287604180447148e-4,0.6136363636363636,2.3283503108876834e-4,1.3149549459464753,27
"{player=Precious Achiuwa,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.2170922079640164e-4,0.5348837209302325,2.2754332583675092e-4,1.1461967315226813,23
"{player=Precious Achiuwa,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.9050138907262865e-4,0.6792452830188679,2.804603783569255e-4,1.4555476131231424,36
"{player=DeAndre' Bembry,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.005423997883318e-4,0.6785714285714286,1.4816774705648896e-4,1.454103617475203,19
"{player=DeAndre' Bembry,period=1,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.1112581029236671e-4,0.84,1.3229263130043657e-4,1.8000272148956196,21
"{player=Moritz Wagner,period=3,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.8260869565217391,1.2170922079640164e-4,1.5488925527711201,19
"{player=Gabe Vincent,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.005423997883318e-4,0.6129032258064516,1.6404286281254134e-4,1.1491783456043794,19
"{player=Gabe Vincent,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1112581029236671e-4,0.6774193548387096,1.6404286281254134e-4,1.2701444872469456,21
"{player=Stanley Johnson,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.0583410504034925e-4,0.5128205128205128,2.0637650482868106e-4,0.9615257412614241,20
"{player=Stanley Johnson,period=2,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.1112581029236671e-4,0.9545454545454546,1.1641751554438417e-4,1.7897490502116056,21
"{player=Chasson Randle,period=4,shottype=Arc3,value=3,and1=not_and1}",{made=not_made},1.2170922079640164e-4,0.6764705882352942,1.7991797856859373e-4,1.268365573399261,23
"{player=Jarred Vanderbilt,period=4,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.4816774705648896e-4,0.6666666666666666,2.2225162058473345e-4,1.4285930276949361,28
"{player=Jarred Vanderbilt,period=3,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.5875115756052387e-4,0.6818181818181818,2.3283503108876836e-4,1.461061051051639,30
"{player=Jarred Vanderbilt,period=2,shottype=AtRim,value=2,and1=not_and1}",{made=is_made},1.7462627331657626e-4,0.6875,2.540018520968382e-4,1.473236559810403,33
