gameid,period,possessionnumber,eventnum,x,y,value,playerid,made,time,margin,blocked,blockplayerid,assisted,assistplayerid,putback,shottype,oreboundedshoteventnum,oreboundedrebeventnum,lineupid,opplineupid,and1,offense_team_id,defense_team_id,possession_start_type,possession_start_time,closest_def_dist,shot_clock,touch_time,dribble_range,video_url,player,date,team,opponent,assist_player,block_player
0022000243,1,34,84,-61.0,69.0,2,203486,False,281.0,2,False,0,,0,False,ShortMidRange,,,1626153-1630180-201961-203486-203924,1629003-201980-202699-203552-203954,False,1610612765,1610612755,OffShortMidRangeMiss,296.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/84/51ae918b-a3ca-a62f-a73e-fc4a88a05795_960x540.mp4,Mason Plumlee,2021-01-23,DET,PHI,,
0022000243,1,36,88,37.0,5.0,2,203486,False,257.0,0,False,0,,0,False,AtRim,,,1626153-1630180-201961-203486-203924,1629003-201980-202699-203552-203954,False,1610612765,1610612755,OffLongMidRangeMake,271.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/88/b94de819-fd9c-1e02-fee6-59ea31572607_960x540.mp4,Mason Plumlee,2021-01-23,DET,PHI,,
0022000243,3,5,370,25.0,5.0,2,203924,False,643.0,2,False,0,,0,False,AtRim,,,1626153-1630180-201961-203486-203924,1627732-201980-202699-203552-203954,False,1610612765,1610612755,OffFTMake,659.0,,15-7 Average,Touch < 2 Seconds,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/370/ad33dfc6-c9d3-3caa-64b4-a100b526d19e_960x540.mp4,Jerami Grant,2021-01-23,DET,PHI,,
0022000243,3,27,438,-3.0,46.0,2,203924,False,360.0,-3,False,0,,0,False,ShortMidRange,,,1626143-1626153-1630180-201961-203924,1627732-1627788-1629003-201980-203954,False,1610612765,1610612755,OffCorner3Make,376.0,,15-7 Average,Touch < 2 Seconds,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000243/438/f00b0fec-90f5-f7bb-1411-ecd14ec06461_960x540.mp4,Jerami Grant,2021-01-23,DET,PHI,,
0022000018,2,11,196,4.0,36.0,2,201565,True,544.0,9,,0,True,203486,False,AtRim,,,1628367-1629004-1629635-201565-203486,1626156-1627823-1629633-1629675-1630162,False,1610612765,1610612750,OffArc3Miss,559.0,,15-7 Average,Touch 2-6 Seconds,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/196/68782ae8-5a1b-77d3-9340-1cda0cf6a5c9_960x540.mp4,Derrick Rose,2020-12-23,DET,MIN,Mason Plumlee,
0022000018,2,37,281,25.0,63.0,2,201565,True,162.0,5,,0,True,1626153,False,ShortMidRange,,,1626153-201565-201933-203486-203924,1626156-1626157-1627736-1629006-201937,False,1610612765,1610612750,OffAtRimMake,181.0,,15-7 Average,Touch 2-6 Seconds,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/281/f8975b8a-b59d-409c-36da-b96b69c5e3b4_960x540.mp4,Derrick Rose,2020-12-23,DET,MIN,Delon Wright,
0022000018,3,13,353,-42.0,242.0,3,201933,False,498.0,7,False,0,,0,False,Arc3,,,1626153-1630165-201933-203486-203924,1626156-1626157-1627736-1627774-1629006,False,1610612765,1610612750,OffCorner3Miss,509.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/353/1d82c266-de59-4d7a-2146-21ae5058689e_960x540.mp4,Blake Griffin,2020-12-23,DET,MIN,,
0022000018,3,37,425,28.0,252.0,3,1628367,False,178.0,6,False,0,,0,False,Arc3,,,1626143-1628367-201565-201933-203924,1626156-1627736-1629675-1630162-201937,False,1610612765,1610612750,OffDeadball,195.0,4-6 Feet - Open,15-7 Average,Touch 2-6 Seconds,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/425/573b8e97-cd3d-1c15-9e9f-7f42ba256143_960x540.mp4,Josh Jackson,2020-12-23,DET,MIN,,
0022000018,3,39,429,231.0,52.0,3,1628367,False,155.0,6,False,0,,0,False,Corner3,,,1626143-1628367-201565-201933-203924,1626156-1627736-1629675-1630162-201937,False,1610612765,1610612750,OffArc3Miss,164.0,4-6 Feet - Open,15-7 Average,Touch 2-6 Seconds,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/429/44c2fa5f-0d05-132c-acd7-c7041f1de52a_960x540.mp4,Josh Jackson,2020-12-23,DET,MIN,,
0022000018,3,49,471,-150.0,199.0,3,201933,False,28.0,7,False,0,,0,False,Arc3,,,1626143-1628367-1629004-201565-201933,1629006-1629633-1629675-1630162-201937,False,1610612765,1610612750,OffDeadball,44.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/471/80e5d767-8275-3fa1-b0c4-518f3937c5fc_960x540.mp4,Blake Griffin,2020-12-23,DET,MIN,,
0022000018,4,20,538,16.0,27.0,2,1626143,False,444.0,4,True,1629675,,0,False,AtRim,,,1626143-1628367-1629635-1630165-203924,1626156-1627774-1629633-1629675-1630162,False,1610612765,1610612750,OffAtRimMake,466.0,2-4 Feet - Tight,7-4 Late,,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000018/538/18c85372-e4c4-0017-a282-b86e1e28dc50_960x540.mp4,Jahlil Okafor,2020-12-23,DET,MIN,,Naz Reid
