gameid,period,possessionnumber,eventnum,x,y,value,playerid,made,time,margin,blocked,blockplayerid,assisted,assistplayerid,putback,shottype,oreboundedshoteventnum,oreboundedrebeventnum,lineupid,opplineupid,and1,offense_team_id,defense_team_id,possession_start_type,possession_start_time,closest_def_dist,shot_clock,touch_time,dribble_range,video_url,player,date,team,opponent,assist_player,block_player
0022000010,1,1,7,-91.0,240.0,3,1628984,False,703.0,0,False,0,,0,False,Arc3,,,1626179-1628984-1629023-202330-203469,1626204-1629012-1629636-1630171-203083,False,1610612766,1610612739,OffDeadball,720.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/7/9591f049-4d39-3832-8d31-72798634af34_960x540.mp4,Devonte' Graham,2020-12-23,CHA,CLE,,
0022000010,1,7,24,134.0,221.0,3,1628984,False,625.0,1,False,0,,0,False,Arc3,22,23,1626179-1628984-1629023-202330-203469,1626204-1629012-1629636-1630171-203083,False,1610612766,1610612739,OffLiveBallTurnover,642.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/24/0de7855d-ad95-4764-ed49-8fb02eb09f91_960x540.mp4,Devonte' Graham,2020-12-23,CHA,CLE,,
0022000010,2,20,241,-5.0,50.0,2,203469,True,424.0,-9,,0,True,1628998,False,ShortMidRange,,,1628984-1628998-1629667-202330-203469,1626204-1628422-1629012-1630171-203083,False,1610612766,1610612739,OffArc3Make,446.0,,15-7 Average,Touch < 2 Seconds,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/241/63e6c5c6-750d-56cc-7d24-2c2e6a6ffeb9_960x540.mp4,Cody Zeller,2020-12-23,CHA,CLE,Cody Martin,
0022000010,2,24,263,52.0,55.0,2,203469,True,359.0,-8,,0,True,1630163,False,ShortMidRange,,,1626179-1629023-1630163-202330-203469,1628422-1629636-1629731-1630171-201580,False,1610612766,1610612739,OffAtRimMake,374.0,,15-7 Average,Touch < 2 Seconds,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/263/7b2eb28f-7c87-9f4d-d901-5c23844f710d_960x540.mp4,Cody Zeller,2020-12-23,CHA,CLE,LaMelo Ball,
0022000010,2,26,268,27.0,55.0,2,202330,True,325.0,-6,,0,True,1626179,False,ShortMidRange,,,1626179-1629023-1630163-202330-203469,1628422-1629636-1629731-1630171-201580,False,1610612766,1610612739,OffLongMidRangeMiss,337.0,4-6 Feet - Open,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/268/d0893e83-b75a-e59b-1784-6983b94d81b1_960x540.mp4,Gordon Hayward,2020-12-23,CHA,CLE,Terry Rozier,
0022000010,2,42,319,79.0,46.0,2,202330,True,98.0,-17,,0,False,0,False,ShortMidRange,,,1626179-1628984-1629023-202330-202687,1626204-1629012-1629636-1630171-201580,False,1610612766,1610612739,OffShortMidRangeMake,114.0,4-6 Feet - Open,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/319/f0ba7e25-b6c0-fe7a-2b96-e3e58dc5b98d_960x540.mp4,Gordon Hayward,2020-12-23,CHA,CLE,,
0022000010,4,27,617,4.0,1.0,2,202687,True,323.0,-17,,0,True,1628984,False,AtRim,,,1626179-1628984-1628998-202330-202687,1626204-1629012-1629636-1630171-201580,True,1610612766,1610612739,OffDeadball,332.0,,18-15 Early,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/617/1c8bf990-39a2-07e5-277e-35a6d099de20_960x540.mp4,Bismack Biyombo,2020-12-23,CHA,CLE,Devonte' Graham,
0022000010,4,31,633,2.0,6.0,2,202687,True,255.0,-17,,0,True,202330,False,AtRim,,,1626179-1628984-1628998-202330-202687,1626204-1629012-1629636-1630171-203083,False,1610612766,1610612739,OffFTMake,265.0,,18-15 Early,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000010/633/a117cf33-9671-f32a-9d05-056aa9436a1e_960x540.mp4,Bismack Biyombo,2020-12-23,CHA,CLE,Gordon Hayward,
0022000022,1,6,19,18.0,7.0,2,1629023,True,624.0,0,,0,False,0,False,AtRim,,,1626179-1628984-1629023-202330-202687,1628983-1629647-1629652-201143-201588,False,1610612766,1610612760,OffArc3Miss,639.0,2-4 Feet - Tight,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000022/19/27d508c6-5680-3a94-abf9-da6595b1b229_960x540.mp4,P.J. Washington,2020-12-26,CHA,OKC,,
0022000022,1,42,140,6.0,4.0,2,1629023,True,93.0,-2,,0,True,1628984,False,AtRim,,,1628984-1628997-1628998-1629023-1629667,1628977-1629026-1630177-1630197-203488,False,1610612766,1610612760,OffDeadball,108.0,2-4 Feet - Tight,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000022/140/6db08060-dfd4-6819-1c2c-920831e1198e_960x540.mp4,P.J. Washington,2020-12-26,CHA,OKC,Devonte' Graham,
