gameid,period,possessionnumber,eventnum,x,y,value,playerid,made,time,margin,blocked,blockplayerid,assisted,assistplayerid,putback,shottype,oreboundedshoteventnum,oreboundedrebeventnum,lineupid,opplineupid,and1,offense_team_id,defense_team_id,possession_start_type,possession_start_time,closest_def_dist,shot_clock,touch_time,dribble_range,video_url,player,date,team,opponent,assist_player,block_player
0022000015,1,36,111,-120.0,233.0,3,203992,False,277.0,11,False,0,,0,False,Arc3,,,1628989-1629027-201568-203524-203992,1627853-1628976-1629632-1630172-203490,False,1610612737,1610612741,OffDeadball,288.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/111/5ce4d596-1105-d852-cea8-46326e048847_960x540.mp4,Bogdan Bogdanovic,2020-12-23,ATL,CHI,,
0022000015,1,52,163,79.0,253.0,3,203992,False,39.0,13,False,0,,0,False,Arc3,,,1628981-1628989-1629631-203524-203992,1627853-1628374-1628990-1629690-203490,False,1610612737,1610612741,OffCorner3Make,49.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/163/f7d52d27-125a-9e5a-e99b-3b54666ac257_960x540.mp4,Bogdan Bogdanovic,2020-12-23,ATL,CHI,,
0022000015,3,29,467,236.0,92.0,3,1628989,False,331.0,34,False,0,,0,False,Arc3,,,1628981-1628989-1629164-203524-203992,1628374-1629632-1629655-1629690-1630172,False,1610612737,1610612741,OffAtRimMake,345.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/467/4adb3177-83b9-c34b-fe91-0416f65b2b66_960x540.mp4,Kevin Huerter,2020-12-23,ATL,CHI,,
0022000015,3,49,526,89.0,243.0,3,1628989,False,75.0,35,False,0,,0,False,Arc3,,,1628981-1628989-1629164-203524-203992,1628374-1628990-1629655-203490-203897,False,1610612737,1610612741,OffArc3Miss,89.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000015/526/1d8b2910-8583-5c7b-7e27-c4b1a795e1d9_960x540.mp4,Kevin Huerter,2020-12-23,ATL,CHI,,
0022000021,1,3,11,185.0,54.0,2,1629629,False,682.0,0,False,0,,0,False,LongMidRange,,,1628381-1629027-1629629-1629631-203992,1628415-1628960-1629630-202685-203937,False,1610612737,1610612763,OffArc3Miss,695.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/11/da4adede-9fab-46cf-9455-7dd30fe74d26_960x540.mp4,Cam Reddish,2020-12-26,ATL,MEM,,
0022000021,1,33,94,-185.0,64.0,2,1629629,False,278.0,-8,False,0,,0,False,LongMidRange,,,1628981-1628989-1629027-1629629-203524,1626145-1629630-1630217-202685-203937,False,1610612737,1610612763,OffDeadball,296.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/94/a5b58ded-4318-6e85-dac8-bfa652ebe47f_960x540.mp4,Cam Reddish,2020-12-26,ATL,MEM,,
0022000021,2,12,210,20.0,5.0,2,1629027,False,532.0,7,False,0,,0,False,AtRim,206,208,1629027-1629629-1630233-203524-203992,1626145-1628415-1628960-202685-203937,False,1610612737,1610612763,OffFTMake,551.0,,15-7 Average,,7+ Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/210/6960b60b-e605-f63d-2810-eb62cf6c3aab_960x540.mp4,Trae Young,2020-12-26,ATL,MEM,,
0022000021,2,34,289,0.0,20.0,2,1629027,False,292.0,1,False,0,,0,False,AtRim,,,1628381-1628989-1629027-1629629-1629631,1629630-1629723-1630217-203476-203937,False,1610612737,1610612763,OffFTMake,306.0,,15-7 Average,,7+ Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/289/cd6d9239-3e6d-9270-ac02-454d77e8b40f_960x540.mp4,Trae Young,2020-12-26,ATL,MEM,,
0022000021,3,42,503,3.0,69.0,2,203524,False,119.0,2,False,0,,0,False,ShortMidRange,499,501,1628989-1629164-1630233-203524-203992,1626145-1628415-1629634-1629723-1630217,False,1610612737,1610612763,OffCorner3Make,145.0,,4-0 Very Late,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/503/57988faa-2496-120c-04ce-0ad078410be9_960x540.mp4,Solomon Hill,2020-12-26,ATL,MEM,,
0022000021,3,42,505,0.0,0.0,2,203524,False,116.0,2,False,0,,0,True,AtRim,503,504,1628989-1629164-1630233-203524-203992,1626145-1628415-1629634-1629723-1630217,False,1610612737,1610612763,OffCorner3Make,145.0,,4-0 Very Late,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000021/505/6f7cd6bb-f470-cb5c-f005-160db58d4c15_960x540.mp4,Solomon Hill,2020-12-26,ATL,MEM,,
