gameid,period,possessionnumber,eventnum,x,y,value,playerid,made,time,margin,blocked,blockplayerid,assisted,assistplayerid,putback,shottype,oreboundedshoteventnum,oreboundedrebeventnum,lineupid,opplineupid,and1,offense_team_id,defense_team_id,possession_start_type,possession_start_time,closest_def_dist,shot_clock,touch_time,dribble_range,video_url,player,date,team,opponent,assist_player,block_player
0022000024,3,38,491,73.0,260.0,3,202722,False,224.0,-2,False,0,,0,False,Arc3,,,1629010-201577-202397-202722-203078,1629643-1630175-203082-203095-203920,False,1610612764,1610612753,OffTimeout,237.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/491/7bb21cb4-12a5-954a-f4b5-c15331002d7c_960x540.mp4,Davis Bertans,2020-12-26,WAS,ORL,,
0022000024,3,42,504,-88.0,302.0,3,202722,False,166.0,-2,False,0,,0,False,Arc3,,,1629010-201577-202397-202722-203078,1629643-1630175-203082-203487-203920,False,1610612764,1610612753,OffShortMidRangeMake,185.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/504/5d881d8f-e924-bcd3-baa5-7fbca9c6baf7_960x540.mp4,Davis Bertans,2020-12-26,WAS,ORL,,
0022000024,3,44,508,-30.0,270.0,3,202722,False,138.0,-4,False,0,,0,False,Arc3,,,1629010-201577-202397-202722-203078,1629643-1630175-203082-203487-203920,False,1610612764,1610612753,OffLongMidRangeMake,152.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/508/bbbbbf6d-553e-c861-f3a6-a86606314c35_960x540.mp4,Davis Bertans,2020-12-26,WAS,ORL,,
0022000024,4,3,558,74.0,153.0,2,201566,True,675.0,-1,,0,False,0,False,LongMidRange,,,1628972-201566-201577-202397-202722,1629643-1630175-203082-203487-203920,False,1610612764,1610612753,OffLongMidRangeMake,684.0,4-6 Feet - Open,22-18 Very Early,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/558/8ec11617-ff54-b571-b818-79291fcc656e_960x540.mp4,Russell Westbrook,2020-12-26,WAS,ORL,,
0022000024,4,5,562,154.0,215.0,3,201566,False,644.0,1,False,0,,0,False,Arc3,,,1628972-201566-201577-202397-202722,1629643-1630175-203082-203487-203920,False,1610612764,1610612753,OffArc3Miss,650.0,,22-18 Very Early,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/562/2f35f000-e371-e11a-0134-defd45a839ed_960x540.mp4,Russell Westbrook,2020-12-26,WAS,ORL,,
0022000024,4,7,566,3.0,17.0,2,201566,True,623.0,1,,0,True,202397,False,AtRim,,,1628972-201566-201577-202397-202722,1629643-1630175-203082-203487-203920,False,1610612764,1610612753,OffShortMidRangeMiss,628.0,4-6 Feet - Open,22-18 Very Early,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/566/abaf2252-7c3a-618e-e38c-9529365c40b1_960x540.mp4,Russell Westbrook,2020-12-26,WAS,ORL,Ish Smith,
0022000024,4,33,658,-182.0,202.0,3,203078,False,258.0,-8,False,0,,0,False,Arc3,,,1628418-1629067-1630166-202397-203078,1628365-1628407-202696-203095-203932,False,1610612764,1610612753,OffShortMidRangeBlock,270.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/658/abbc8458-c91e-ed3c-6432-49d8e74c5b4d_960x540.mp4,Bradley Beal,2020-12-26,WAS,ORL,,
0022000024,4,43,686,231.0,59.0,3,203078,False,110.0,-7,False,0,,0,False,Corner3,,,1628418-1630166-201566-202722-203078,1628365-202696-203082-203095-203932,False,1610612764,1610612753,OffShortMidRangeMake,123.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/686/ef99642a-e558-45d6-7f63-f636894ebf04_960x540.mp4,Bradley Beal,2020-12-26,WAS,ORL,,
0022000024,4,51,716,136.0,216.0,3,201566,False,22.0,-10,False,0,,0,False,Arc3,,,1628418-1630166-201566-202722-203078,1628365-202696-203095-203487-203932,False,1610612764,1610612753,OffFTMake,29.0,,22-18 Very Early,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000024/716/be632afd-23c3-2c27-c6d2-bb98a2f283ec_960x540.mp4,Russell Westbrook,2020-12-26,WAS,ORL,,
0022000033,1,25,64,131.0,113.0,2,1628418,False,388.0,10,False,0,,0,False,LongMidRange,,,1628418-1629067-1630166-203078-203526,1628365-1628407-202696-203095-203932,False,1610612764,1610612753,OffShortMidRangeMiss,399.0,,15-7 Average,,0 Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/64/6c1af59f-561a-2616-65f1-bdc48356cf78_960x540.mp4,Thomas Bryant,2020-12-27,WAS,ORL,,
0022000033,1,37,95,-20.0,36.0,2,1628418,False,229.0,11,False,0,,0,False,ShortMidRange,,,1628418-1628972-1630166-202397-203078,1628365-1629643-202696-203082-203095,False,1610612764,1610612753,OffLongMidRangeMiss,239.0,,15-7 Average,,0 Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/95/babab8ab-0dd4-d65d-e0d4-fc590a401db4_960x540.mp4,Thomas Bryant,2020-12-27,WAS,ORL,,
0022000033,1,37,97,0.0,0.0,2,1628418,False,223.0,11,False,0,,0,True,AtRim,95,96,1628418-1628972-1630166-202397-203078,1628365-1629643-202696-203082-203095,False,1610612764,1610612753,OffLongMidRangeMiss,239.0,,15-7 Average,,0 Dribbles,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/97/a278fc70-69bc-9878-1d7c-0907823cb85f_960x540.mp4,Thomas Bryant,2020-12-27,WAS,ORL,,
0022000033,1,43,124,-57.0,27.0,2,201577,True,154.0,6,,0,True,203078,False,ShortMidRange,,,1628972-1630166-201577-202397-203078,1629643-1630175-203082-203487-203920,True,1610612764,1610612753,OffTimeout,177.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/124/d163bd00-e4c3-d7f6-b7ea-76b150cc91a7_960x540.mp4,Robin Lopez,2020-12-27,WAS,ORL,Bradley Beal,
0022000033,1,45,131,-53.0,62.0,2,201577,True,124.0,8,,0,False,0,False,ShortMidRange,,,1628972-1630166-201577-202397-203078,1629643-1630175-203082-203487-203920,False,1610612764,1610612753,OffDeadball,142.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/131/6bddbd9f-edb2-49a1-85a3-2c9f6247a6e0_960x540.mp4,Robin Lopez,2020-12-27,WAS,ORL,,
0022000033,1,47,134,36.0,59.0,2,201577,True,93.0,8,,0,True,1630166,False,ShortMidRange,,,1628972-1630166-201577-202397-203078,1629643-1630175-203082-203487-203920,False,1610612764,1610612753,OffLongMidRangeMake,109.0,,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/134/68352bea-aee4-7595-2a8d-52f250625351_960x540.mp4,Robin Lopez,2020-12-27,WAS,ORL,Deni Avdija,
0022000033,2,2,171,-78.0,85.0,2,202397,False,696.0,6,False,0,,0,False,ShortMidRange,,,1628972-1629010-201577-202397-202722,1630175-203082-203487-203920-203932,False,1610612764,1610612753,OffShortMidRangeMiss,703.0,4-6 Feet - Open,22-18 Very Early,Touch 2-6 Seconds,,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/171/33adfc9c-e5d2-cc94-d0c6-ec5b893672fc_960x540.mp4,Ish Smith,2020-12-27,WAS,ORL,,
0022000033,2,18,203,-82.0,169.0,2,202397,False,464.0,4,False,0,,0,False,LongMidRange,,,1628972-1629010-201577-202397-202722,1630175-203082-203487-203920-203932,False,1610612764,1610612753,OffShortMidRangeMake,475.0,4-6 Feet - Open,22-18 Very Early,Touch 2-6 Seconds,,https://videos.nba.com/nba/pbp/media/2020/12/27/0022000033/203/2122955f-5cd5-4b43-1986-d1f4dcadc748_960x540.mp4,Ish Smith,2020-12-27,WAS,ORL,,
