gameid,period,possessionnumber,eventnum,x,y,value,playerid,made,time,margin,blocked,blockplayerid,assisted,assistplayerid,putback,shottype,oreboundedshoteventnum,oreboundedrebeventnum,lineupid,opplineupid,and1,offense_team_id,defense_team_id,possession_start_type,possession_start_time,closest_def_dist,shot_clock,touch_time,dribble_range,video_url,player,date,team,opponent,assist_player,block_player
0022000016,1,9,21,-20.0,9.0,2,1629650,True,600.0,2,,0,False,0,False,AtRim,,,1629650-1629652-1629676-1630177-1630197,1626174-1627863-1630256-202322-203506,False,1610612760,1610612745,OffAtRimMake,616.0,2-4 Feet - Tight,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/21/5188e73c-eea6-37a3-da9c-51e4a241db57_960x540.mp4,Moses Brown,2021-03-21,OKC,HOU,,
0022000016,1,47,138,1.0,24.0,2,1629650,True,51.0,5,,0,True,1629004,False,AtRim,136,137,1629004-1629026-1629650-1629660-1630177,1627863-1628391-1628425-1629645-203506,False,1610612760,1610612745,OffArc3Miss,66.0,2-4 Feet - Tight,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/138/7a47dc50-c923-3080-173e-595163a42b19_960x540.mp4,Moses Brown,2021-03-21,OKC,HOU,Svi Mykhailiuk,
0022000016,2,12,176,228.0,9.0,3,1628382,True,563.0,5,,0,True,1629004,False,Corner3,,,1628382-1629004-1629026-1629650-1629660,1628391-1628425-1629645-1630231-203506,False,1610612760,1610612745,OffLiveBallTurnover,571.0,6+ Feet - Wide Open,18-15 Early,,,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/176/29549bb4-e667-a7cd-1670-9bcd7f135fc4_960x540.mp4,Justin Jackson,2021-03-21,OKC,HOU,Svi Mykhailiuk,
0022000016,2,26,218,160.0,208.0,3,1628382,True,372.0,6,,0,False,0,False,Arc3,,,1628382-1629004-1629026-1629660-1629676,1626174-1628425-1630256-202322-203506,False,1610612760,1610612745,OffCorner3Make,382.0,6+ Feet - Wide Open,18-15 Early,,,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/218/ad30d83b-e338-bcf8-9306-7bfa93f77533_960x540.mp4,Justin Jackson,2021-03-21,OKC,HOU,,
0022000016,3,26,401,22.0,10.0,2,1629676,True,324.0,4,,0,True,1629660,False,AtRim,399,400,1629652-1629660-1629676-1630177-1630197,1626174-1627863-1629645-1630231-202322,False,1610612760,1610612745,OffLongMidRangeMiss,340.0,2-4 Feet - Tight,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/401/fb9c00bb-8f69-2d6b-672d-ea86b85f6b81_960x540.mp4,Isaiah Roby,2021-03-21,OKC,HOU,Ty Jerome,
0022000016,3,32,417,6.0,26.0,2,1629676,True,252.0,4,,0,True,1630197,False,AtRim,,,1629652-1629660-1629676-1630177-1630197,1626174-1627863-1629645-1630231-202322,False,1610612760,1610612745,OffAtRimMake,268.0,2-4 Feet - Tight,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/417/ed8d64ff-b7da-37dc-f422-82b1525f6b44_960x540.mp4,Isaiah Roby,2021-03-21,OKC,HOU,Aleksej Pokusevski,
0022000016,4,21,551,237.0,1.0,3,1629004,True,403.0,3,,0,True,1629026,False,Corner3,549,550,1629004-1629026-1629652-1629660-1629676,1626174-1627863-1630256-202322-203506,False,1610612760,1610612745,OffTimeout,432.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/551/596ed6ce-fb63-304a-fc8d-201fdff16d53_960x540.mp4,Svi Mykhailiuk,2021-03-21,OKC,HOU,Kenrich Williams,
0022000016,4,27,568,-231.0,55.0,3,1629004,True,296.0,2,,0,True,1629026,False,Corner3,,,1629004-1629026-1629652-1629660-1629676,1626174-1627863-1630256-202322-203506,False,1610612760,1610612745,OffAtRimMake,314.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2021/03/21/0022000016/568/602200ca-4b05-e399-4dd2-cd91714e071c_960x540.mp4,Svi Mykhailiuk,2021-03-21,OKC,HOU,Kenrich Williams,
0022000022,1,9,23,1.0,10.0,2,1628983,False,577.0,-2,False,0,,0,False,AtRim,,,1628983-1629647-1629652-201143-201588,1626179-1628984-1629023-202330-202687,False,1610612760,1610612766,OffLongMidRangeMake,589.0,,18-15 Early,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000022/23/c509c00b-0ea6-2f1a-933c-54e0336e021c_960x540.mp4,Shai Gilgeous-Alexander,2020-12-26,OKC,CHA,,
0022000022,1,17,41,44.0,16.0,2,1629652,False,472.0,0,True,202687,,0,False,ShortMidRange,,,1628983-1629647-1629652-201143-201588,1626179-1628984-1629023-202330-202687,False,1610612760,1610612766,OffLongMidRangeMiss,482.0,2-4 Feet - Tight,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2020/12/26/0022000022/41/11eb6437-bd86-4d82-83f5-75f09e0cac6b_960x540.mp4,Luguentz Dort,2020-12-26,OKC,CHA,,Bismack Biyombo
