gameid,period,possessionnumber,eventnum,x,y,value,playerid,made,time,margin,blocked,blockplayerid,assisted,assistplayerid,putback,shottype,oreboundedshoteventnum,oreboundedrebeventnum,lineupid,opplineupid,and1,offense_team_id,defense_team_id,possession_start_type,possession_start_time,closest_def_dist,shot_clock,touch_time,dribble_range,video_url,player,date,team,opponent,assist_player,block_player
0022000244,3,2,376,-44.0,97.0,2,201609,True,683.0,-10,,0,False,0,False,ShortMidRange,,,1628389-1629130-1629644-201609-203482,201142-201599-201935-202681-203925,False,1610612748,1610612751,OffArc3Miss,697.0,4-6 Feet - Open,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/376/0d217317-7bbd-b44f-0f9a-4bd24194fa55_960x540.mp4,Goran Dragic,2021-01-23,MIA,BKN,,
0022000244,3,6,386,-19.0,134.0,2,201609,True,600.0,-8,,0,True,1628389,False,ShortMidRange,,,1628389-1629130-1629644-201609-203482,201142-201599-201935-202681-203925,False,1610612748,1610612751,OffAtRimMake,620.0,4-6 Feet - Open,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/386/6224cb27-2465-2b74-ca7f-1e7a1a7482b1_960x540.mp4,Goran Dragic,2021-01-23,MIA,BKN,Bam Adebayo,
0022000244,3,12,398,231.0,46.0,3,203482,False,505.0,-12,False,0,,0,False,Corner3,,,1628389-1629130-1629644-201609-203482,201142-201599-201935-202681-203925,False,1610612748,1610612751,OffArc3Miss,516.0,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/398/67f0523b-422a-ff96-4c41-5c5e75e84d1e_960x540.mp4,Kelly Olynyk,2021-01-23,MIA,BKN,,
0022000244,3,20,425,-163.0,218.0,3,203482,False,390.0,-11,False,0,,0,False,Arc3,,,1628389-1629130-1629644-201609-203482,1628971-201142-201599-202681-203925,False,1610612748,1610612751,OffDeadball,404.0,4-6 Feet - Open,15-7 Average,Touch < 2 Seconds,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/425/e8a0ec80-c2ab-b406-3368-25c770d09e7e_960x540.mp4,Kelly Olynyk,2021-01-23,MIA,BKN,,
0022000244,3,28,452,47.0,75.0,2,201609,True,273.0,-12,,0,False,0,False,ShortMidRange,,,1629134-1629644-1630173-201609-203482,1628971-201142-201599-202681-203925,False,1610612748,1610612751,OffCorner3Make,291.0,4-6 Feet - Open,15-7 Average,,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/452/20167d43-c314-1bea-e320-11d3bba54ef8_960x540.mp4,Goran Dragic,2021-01-23,MIA,BKN,,
0022000244,4,1,537,139.0,217.0,3,1629134,True,701.0,-14,,0,True,2738,False,Arc3,,,1628389-1629130-1629134-1629216-2738,1627789-1629617-201145-201935-203925,False,1610612748,1610612751,OffDeadball,720.0,,15-7 Average,Touch < 2 Seconds,0 Dribbles,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/537/df3d8cd0-4564-4fcd-622a-1d0a28d08d76_960x540.mp4,Kendrick Nunn,2021-01-23,MIA,BKN,Andre Iguodala,
0022000244,4,5,546,11.0,105.0,2,1628389,True,641.0,-8,,0,False,0,False,ShortMidRange,,,1628389-1629130-1629134-1629216-2738,1627789-1629617-201145-201935-203925,True,1610612748,1610612751,OffDeadball,653.0,,15-7 Average,Touch 2-6 Seconds,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/546/92900ddd-046b-ac81-f76d-54979a1e678e_960x540.mp4,Bam Adebayo,2021-01-23,MIA,BKN,,
0022000244,4,15,582,-12.0,122.0,2,1628389,True,492.0,-9,,0,False,0,False,ShortMidRange,,,1628389-1629130-1629134-1629216-2738,201142-201145-201935-202681-203925,False,1610612748,1610612751,OffTimeout,505.0,,15-7 Average,Touch 2-6 Seconds,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/582/8e7e5bb9-e896-49da-dce6-464d7d6c4eae_960x540.mp4,Bam Adebayo,2021-01-23,MIA,BKN,,
0022000244,4,23,604,-20.0,131.0,2,1628389,True,361.0,-4,,0,False,0,False,ShortMidRange,,,1628389-1629130-1629134-201609-2738,201142-201145-201935-202681-203925,False,1610612748,1610612751,OffShortMidRangeMake,378.0,,15-7 Average,Touch 2-6 Seconds,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/604/7232f31c-6978-e5a8-0939-d37490370325_960x540.mp4,Bam Adebayo,2021-01-23,MIA,BKN,,
0022000244,4,25,606,-110.0,32.0,2,1628389,True,329.0,-5,,0,False,0,False,ShortMidRange,,,1628389-1629130-1629134-201609-2738,201142-201145-201935-202681-203925,False,1610612748,1610612751,OffArc3Make,348.0,,15-7 Average,Touch 2-6 Seconds,,https://videos.nba.com/nba/pbp/media/2021/01/23/0022000244/606/72d2b50b-2e60-3a9d-b801-96552c76f405_960x540.mp4,Bam Adebayo,2021-01-23,MIA,BKN,,
