"x","y","endX","endY","countP"
6.33333333333333,14.3333333333333,14.3333333333333,10.6666666666667,3
9,27,5,31,1
5.5,66,48,71,2
7,70,78,78,1
15.5,13,8.5,23.5,2
16.4285714285714,26.5714285714286,16.7142857142857,16.5714285714286,7
14.25,33.625,18.25,39.25,8
17.25,45.75,23.75,53.5,4
16.7,54.6,23,51.2,10
15.5,63.7,25.2,66.3,10
15.6666666666667,74.25,22.3333333333333,71.1666666666667,12
24.6666666666667,8,26.3333333333333,2.33333333333333,3
25,16.5,23.125,21.5,8
25.75,25,37.5,31,12
25.8181818181818,33.9545454545455,33.8636363636364,39.5454545454545,22
25.448275862069,44.4827586206897,28.1379310344828,41.2758620689655,29
24.3571428571429,54.7142857142857,25.7142857142857,55,14
25.375,63.1875,34,65.6875,16
26,73.75,29.375,69.875,8
36.4285714285714,7,29.1428571428571,14.1428571428571,7
35.4545454545455,15.1818181818182,39.0909090909091,12.3636363636364,11
33.9444444444444,25.2777777777778,40.7222222222222,28.5,18
35.0769230769231,35.0192307692308,49.7307692307692,36.5192307692308,52
34.9038461538462,43.4038461538462,47.2307692307692,39.8846153846154,52
35.5588235294118,54,38.6470588235294,48.3235294117647,34
34.0476190476191,64,36,57.9047619047619,21
35.8,74,42.6,65.1333333333333,15
46.75,6.5,34.5,19.5,4
45.6666666666667,14.2222222222222,49.3333333333333,29.2222222222222,9
44,25.6060606060606,47.1212121212121,25.1212121212121,33
44.3714285714286,34.5571428571429,54.6142857142857,38.1142857142857,70
44.4411764705882,44.1029411764706,51.1029411764706,43.7058823529412,68
44.8070175438597,55.3333333333333,48.6666666666667,52.9824561403509,57
45.4634146341463,63.0731707317073,48.4390243902439,58.0487804878049,41
45,74.6538461538462,49.9615384615385,64.0769230769231,26
53.7777777777778,6,58.4444444444444,20,9
55.2307692307692,15.8461538461538,55.6153846153846,21.3076923076923,13
54.075,25.5,58.6,27.2,40
54.9746835443038,35.3164556962025,62.7974683544304,35.3670886075949,79
54.9014084507042,44.6056338028169,59.887323943662,44.112676056338,71
54.4137931034483,54.2528735632184,59.4137931034483,53.0344827586207,87
54.4852941176471,64.0147058823529,56.9705882352941,57.5882352941176,68
55.7878787878788,74.1212121212121,58.969696969697,66.5454545454545,33
62,5.5,62.75,6.75,4
64.75,16.25,64.5,24.75,16
65,25.9428571428571,72.5714285714286,32.0857142857143,35
64.5818181818182,34.6727272727273,72.1090909090909,34.5818181818182,55
64.6153846153846,44.0897435897436,72.2051282051282,42.1538461538462,78
65.1139240506329,54.379746835443,69.4177215189873,54.379746835443,79
64.8769230769231,64.5846153846154,67.6461538461539,58.9538461538462,65
65,73.7586206896552,70.3793103448276,69.1724137931034,29
73.5,6.8,74,13.5,10
73.5909090909091,15.0454545454545,75.8636363636364,21.5,22
74.3225806451613,24.2903225806452,80.6451612903226,26.5161290322581,31
74.3541666666667,34.1458333333333,81.9583333333333,33.1875,48
74.7894736842105,44.9736842105263,80.3421052631579,47.7105263157895,38
73.6,54.6875,75.4125,49.775,80
74.1739130434783,63.554347826087,77.6630434782609,57.5869565217391,92
74.4318181818182,74.4318181818182,74.4318181818182,67.25,44
85,6,89.3333333333333,11.3333333333333,3
83.9545454545455,16.0909090909091,87.9545454545455,19.1363636363636,22
84.12,24.08,92.08,30.88,25
83.96,34.88,90.16,32.92,25
84.063829787234,44.5106382978723,91.5957446808511,45.1276595744681,47
84.9117647058823,55,88.4558823529412,51.7941176470588,68
84.1833333333333,64.1166666666667,85.4333333333333,52.3166666666667,60
83.7352941176471,73.7058823529412,81.8529411764706,64.5882352941177,34
94,5,81,10,2
94,14.3333333333333,88.5,18.8333333333333,6
92.7,23.1,102.6,28.3,10
94,34.1428571428571,102.428571428571,33.4285714285714,7
93.4166666666667,45.4166666666667,97.9166666666667,47.3333333333333,12
92.71875,54.1875,101.25,50.75,32
93.8125,63.78125,96.71875,59.53125,32
93.5555555555556,73.5555555555556,90.2962962962963,67.1851851851852,27
101,3,87,6,1
103,23,112,29,1
103.333333333333,35.3333333333333,105.333333333333,37.6666666666667,3
100.5,47.5,108.5,54,2
104.5,54.6666666666667,106.666666666667,43.6666666666667,6
104.9,64.5,103.8,49.9,10
103.733333333333,75,104.266666666667,62.7333333333333,15
119,1,111.666666666667,23.3333333333333,3
114.5,12.5,111,39.5,2
115,20,104,43,1
111.5,33,113,49,2
112.777777777778,55.7777777777778,111.777777777778,41.1111111111111,9
113.833333333333,64.3333333333333,111,54.5,6
113.833333333333,75.6666666666667,112.166666666667,62.6666666666667,6
